user_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,clv_hist_items,clv_value,rfm_cluster,dept_cluster
2,137.0,1,5,1,1,1,111,Hibernating,5,15.0,1,2
3,113.0,2,13,4,3,3,433,Loyal Customers,13,39.0,2,2
4,140.0,1,4,1,1,1,111,Hibernating,4,12.0,1,0
7,127.0,2,13,3,3,3,333,Loyal Customers,13,39.0,1,0
9,134.0,1,11,2,1,3,213,Others,11,33.0,1,3
10,140.0,1,5,1,1,1,111,Hibernating,5,15.0,1,1
11,110.0,2,24,5,3,4,534,Loyal Customers,24,72.0,2,2
12,110.0,1,22,5,1,4,514,Recent Customers,22,66.0,2,2
15,133.0,1,3,2,1,1,211,Hibernating,3,9.0,1,0
17,136.0,2,6,1,3,1,131,Others,6,18.0,1,2
19,134.0,1,42,2,1,5,215,Others,42,126.0,1,0
21,133.0,1,4,2,1,1,211,Hibernating,4,12.0,1,3
24,116.0,1,2,4,1,1,411,Recent Customers,2,6.0,2,4
26,140.0,1,4,1,1,1,111,Hibernating,4,12.0,1,4
27,126.0,3,27,3,4,4,344,Loyal Customers,27,81.0,0,4
30,112.0,1,1,4,1,1,411,Recent Customers,1,3.0,2,0
31,132.0,1,35,2,1,5,215,Others,35,105.0,1,0
33,113.0,1,13,4,1,3,413,Recent Customers,13,39.0,2,2
36,129.0,2,9,2,3,2,232,Others,9,27.0,1,0
37,136.0,1,8,1,1,2,112,Hibernating,8,24.0,1,2
38,127.0,1,17,3,1,3,313,Others,17,51.0,1,0
39,133.0,2,36,2,3,5,235,Others,36,108.0,1,2
40,132.0,2,25,2,3,4,234,Others,25,75.0,1,0
41,110.0,1,19,5,1,4,514,Recent Customers,19,57.0,2,2
42,132.0,1,1,2,1,1,211,Hibernating,1,3.0,1,3
46,91.0,3,20,5,4,4,544,Champions,20,60.0,0,0
48,127.0,1,14,3,1,3,313,Others,14,42.0,1,1
49,110.0,1,3,5,1,1,511,Recent Customers,3,9.0,2,4
50,132.0,1,6,2,1,1,211,Hibernating,6,18.0,1,4
51,127.0,1,5,3,1,1,311,Hibernating,5,15.0,1,3
52,133.0,1,6,2,1,1,211,Hibernating,6,18.0,1,2
54,123.0,3,27,3,4,4,344,Loyal Customers,27,81.0,0,2
55,131.0,1,9,2,1,2,212,Hibernating,9,27.0,1,0
57,128.0,1,7,2,1,2,212,Hibernating,7,21.0,1,2
58,137.0,1,11,1,1,3,113,Others,11,33.0,1,2
59,116.0,1,2,4,1,1,411,Recent Customers,2,6.0,2,3
62,110.0,1,9,5,1,2,512,Recent Customers,9,27.0,2,2
63,87.0,7,87,5,5,5,555,Champions,87,261.0,3,2
64,121.0,1,16,3,1,3,313,Others,16,48.0,1,1
65,104.0,3,24,5,4,4,544,Champions,24,72.0,0,2
66,110.0,1,3,5,1,1,511,Recent Customers,3,9.0,2,3
67,113.0,4,15,4,5,3,453,Loyal Customers,15,45.0,0,2
70,110.0,1,2,5,1,1,511,Recent Customers,2,6.0,2,4
71,106.0,2,38,5,3,5,535,Loyal Customers,38,114.0,0,2
75,134.0,1,11,2,1,3,213,Others,11,33.0,1,2
79,140.0,1,12,1,1,3,113,Others,12,36.0,1,3
80,134.0,1,11,2,1,3,213,Others,11,33.0,1,2
82,95.0,4,28,5,5,4,554,Champions,28,84.0,0,2
85,124.0,2,7,3,3,2,332,Others,7,21.0,1,2
86,115.0,2,34,4,3,5,435,Loyal Customers,34,102.0,0,2
88,110.0,1,5,5,1,1,511,Recent Customers,5,15.0,2,3
89,130.0,1,11,2,1,3,213,Others,11,33.0,1,2
90,119.0,5,41,4,5,5,455,Champions,41,123.0,0,0
93,110.0,1,3,5,1,1,511,Recent Customers,3,9.0,2,0
95,116.0,1,17,4,1,3,413,Recent Customers,17,51.0,2,2
96,109.0,2,20,5,3,4,534,Loyal Customers,20,60.0,2,0
97,110.0,1,17,5,1,3,513,Recent Customers,17,51.0,2,0
99,117.0,1,22,4,1,4,414,Recent Customers,22,66.0,2,2
101,125.0,2,16,3,3,3,333,Loyal Customers,16,48.0,1,1
103,119.0,1,1,4,1,1,411,Recent Customers,1,3.0,2,3
108,110.0,1,15,5,1,3,513,Recent Customers,15,45.0,2,2
109,110.0,1,5,5,1,1,511,Recent Customers,5,15.0,2,1
111,110.0,2,16,5,3,3,533,Loyal Customers,16,48.0,2,2
112,123.0,2,12,3,3,3,333,Loyal Customers,12,36.0,1,0
116,130.0,1,1,2,1,1,211,Hibernating,1,3.0,1,0
117,110.0,1,5,5,1,1,511,Recent Customers,5,15.0,2,0
118,116.0,2,14,4,3,3,433,Loyal Customers,14,42.0,2,3
122,109.0,3,17,5,4,3,543,Loyal Customers,17,51.0,0,0
123,91.0,2,12,5,3,3,533,Loyal Customers,12,36.0,2,0
126,82.0,2,22,5,3,4,534,Loyal Customers,22,66.0,2,2
127,134.0,1,20,2,1,4,214,Others,20,60.0,1,0
129,127.0,1,3,3,1,1,311,Hibernating,3,9.0,1,2
131,118.0,1,5,4,1,1,411,Recent Customers,5,15.0,2,0
132,125.0,3,13,3,4,3,343,Loyal Customers,13,39.0,1,3
139,135.0,1,6,1,1,1,111,Hibernating,6,18.0,1,2
140,130.0,4,51,2,5,5,255,At Risk,51,153.0,0,2
142,90.0,2,14,5,3,3,533,Loyal Customers,14,42.0,2,2
143,117.0,2,38,4,3,5,435,Loyal Customers,38,114.0,0,2
145,139.0,2,18,1,3,4,134,Others,18,54.0,1,3
146,127.0,2,10,3,3,2,332,Others,10,30.0,1,2
150,131.0,1,19,2,1,4,214,Others,19,57.0,1,0
152,113.0,4,53,4,5,5,455,Champions,53,159.0,0,3
154,124.0,2,40,3,3,5,335,Loyal Customers,40,120.0,0,0
159,140.0,1,11,1,1,3,113,Others,11,33.0,1,0
160,119.0,2,45,4,3,5,435,Loyal Customers,45,135.0,0,2
161,108.0,2,26,5,3,4,534,Loyal Customers,26,78.0,2,2
162,140.0,1,7,1,1,2,112,Hibernating,7,21.0,1,3
163,127.0,2,9,3,3,2,332,Others,9,27.0,1,2
164,124.0,1,21,3,1,4,314,Others,21,63.0,1,2
166,140.0,1,1,1,1,1,111,Hibernating,1,3.0,1,0
168,133.0,1,10,2,1,2,212,Hibernating,10,30.0,1,0
169,134.0,1,4,2,1,1,211,Hibernating,4,12.0,1,3
172,127.0,2,10,3,3,2,332,Others,10,30.0,1,0
173,119.0,3,13,4,4,3,443,Loyal Customers,13,39.0,2,0
174,119.0,2,7,4,3,2,432,Others,7,21.0,2,3
177,132.0,1,4,2,1,1,211,Hibernating,4,12.0,1,0
179,130.0,1,7,2,1,2,212,Hibernating,7,21.0,1,1
182,128.0,2,18,2,3,4,234,Others,18,54.0,1,0
187,135.0,2,13,1,3,3,133,Others,13,39.0,1,0
195,123.0,3,12,3,4,3,343,Loyal Customers,12,36.0,1,1
198,140.0,1,6,1,1,1,111,Hibernating,6,18.0,1,0
202,92.0,2,98,5,3,5,535,Loyal Customers,98,294.0,3,0
204,131.0,2,8,2,3,2,232,Others,8,24.0,1,2
206,112.0,1,11,4,1,3,413,Recent Customers,11,33.0,2,2
210,117.0,5,78,4,5,5,455,Champions,78,234.0,3,2
212,136.0,1,3,1,1,1,111,Hibernating,3,9.0,1,4
214,127.0,2,41,3,3,5,335,Loyal Customers,41,123.0,0,1
216,126.0,2,46,3,3,5,335,Loyal Customers,46,138.0,0,0
218,124.0,1,1,3,1,1,311,Hibernating,1,3.0,1,0
219,117.0,2,23,4,3,4,434,Loyal Customers,23,69.0,2,3
220,133.0,1,5,2,1,1,211,Hibernating,5,15.0,1,1
